,Unnamed: 0,REVIEW ID,SOURCE,REVIEW BY,REVIEW DATE,REVIEW MONTH,REVIEW YEAR,REVIEW SUBJECT,text,REVIEW RATING,REVIEW TYPE,text_translated,topic_LDA,topic_NMF
17,17,4879,Google + HK HILL,Mandakini Matada,5/12/2017,May,2017,,"1.Best time to visit 7 15 am - 8 30 am or 7:45 pm to 8 :20 pm during arati session. Temple is closed between 1 pm to 4 pm. 2.Senior citizens can opt for lift facility . Wheel chairs available for physically challenged. 3.Paid Shuttle autos from entrance for those who can't walk ( not very sure. Ask the security or call temple. If you are coming by auto or uber you can ask them to drop up the hill they will allow without parking fee. If you have a private vehicle it's very good. Nevertheless it's a good exercise for people coming by metro or bus) 4. Direct exit for people not interested in shopping. There is a clear big LED board which shows direction for direct exit. Many people are complaining that you are forced into stalls. Nobody forces. There is an exit and you should just take that. 5. Buying books paraphernalia etc is optional. Again for those who feel it is a commercial shopping complex you can just take lift or walk away from counters. However their books are amazing and very inspiring. 6. Lot of books and things to engage school going kids into God consciousness. 7. Free meal everyday 11am to 2pm 8. Free Donna (cup) prasada of steaming hot kichidi. You can ask for any number they don't mind. 9. Weekdays you can have peaceful darshan for a longer time 10. You can buy tickets for a queue free closer darshan 11. Clean toilet facilities provided backside of temple 12. All prasadam ( pastries puffs) items are free of onion garlic and eggs obviously 13. Enquire about events in the temple like youth programs , summer camps etc. If you are interested. 14. On certain festivals like Narsimha jayanthi, panihati etc ( you can get to know thru their website about upcoming festivals) the evenings are marvellous. Must visit festival evenings at 6 30pm usually in the open air theatre. 15. Observe the way the Deities are decorated. I am sure no temple in Bangalore have such nice outfits and such decoration for deities that too EVERYDAY. 16. Car park, Guest house, Higher taste restaurant, animated movie Little Krishna shows, pooja paraphernalia, authentic books based on Scriptures, coloring books, kids books, school stuff, bakery... Many more. 17. If you donate even a rupee here, it is completely worth as they spend on free midday meals to school kids all over India. And their transactions are clear so you don't have to worry whether somebody is eating you money. They use all donations for seva of Lord. 18. Anybody can visit temple irrespective of race caste creed. No shorts allowed. U can rent dhoti.",5,POSITIVE,time visit pm pm arati session temple closed pm pm senior citizen opt lift facility wheel chair available physically challenged paid shuttle auto entrance walk security call temple coming auto uber drop hill parking fee private vehicle exercise coming metro bus direct exit interested shopping clear big led board show direction direct exit complaining forced stall force exit buying book paraphernalia optional feel commercial shopping complex lift walk away counter book amazing inspiring lot book thing engage school kid god consciousness free meal everyday 11am 2pm free donna cup prasada steaming hot kichidi number mind weekday peaceful darshan longer time buy ticket queue free closer darshan clean toilet facility provided backside temple prasadam pastry puff item free onion garlic egg enquire event temple youth program summer camp interested festival narsimha jayanthi panihati website upcoming festival evening marvellous visit festival evening 30pm open air theatre observe deity decorated temple bangalore nice outfit decoration deity everyday car park guest house higher taste restaurant animated movie krishna show pooja paraphernalia authentic book based scripture coloring book kid book school stuff bakery donate rupee completely worth spend free midday meal school kid india transaction clear worry eating money donation seva lord visit temple irrespective race caste creed short allowed u rent dhoti,1,0
18,18,5383,Facebook,Gauranga Das,6/12/2017,June,2017,,100 percent perfect temple and positive environment. I love it,5,POSITIVE,percent perfect temple positive environment love,2,0
19,19,3332,Trip Advisor,narensattu,8/28/2016,August,2016,Hare Krishna,"2002, if i am not wrong I first came here. my dad was impressed and took life membership in ISKCON, later visited many times and stayed in their guest houses. Krishna is the same may be in Bangalore or in Bombay but the temple is so clean and pleasant ( at least on weekdays where the rush is low), many time felt it become commercial on seeing those shops selling food, cakes etc etc ., but the happiness after seeing Krishna suppresses all of these",4,MIXED,wrong dad impressed life membership iskcon visited time stayed guest house krishna bangalore bombay temple clean pleasant weekday rush low time felt commercial shop selling food cake happiness krishna suppresses,0,0
20,20,5633,Google + HK HILL,Google Gowda,8/4/2017,August,2017,,2012 July visited,5,POSITIVE,july visited,1,0
21,21,783,Trip Advisor,Ash K,4/5/2015,April,2015,Poor experience,"A barefoot walk through a 1980's temple where you can't take any photos and the main goal is to sell you something. After walking through the main hall, which was impressive, you are guided, by railings, past vendor after vendor, trying to sell you some cheap tat. I was hoping to learn and see more, about the religion, but found out nothing. An hour of my life I will never get back!",2,NEGATIVE,barefoot walk temple photo goal sell walking hall impressive guided railing past vendor vendor sell cheap tat hoping learn religion found hour life back,0,0
22,22,3537,Google + HK HILL,Ashish Sengar,9/30/2016,September,2016,,A beautiful and serene location.. Isckon temple sits atop a small hillock.. provides a beautiful view of the city sky...,4,POSITIVE,beautiful serene location isckon temple sits atop small hillock beautiful view city sky,3,0
23,23,5226,Trip Advisor,Swamyguru,6/22/2017,June,2017,Hare Krishna hare Krishna krishna krishna hare hare,A beautiful calm and well maintained peace filled relaxed place in Bangalore and must visit to get Lord Sri Krishna blessings,5,POSITIVE,beautiful calm maintained peace filled relaxed place bangalore visit lord sri krishna blessing,2,4
24,24,2460,Trip Advisor,99emgee147,12/24/2015,December,2015,A temple for solitude,"A beautiful Hindu experience for all religions. The Hare Rama Hare Krishna chants fills the air with an essence of something very potent and poignant. Reaching the main temple on a hill top you go through hop, scotch and jump exercise which is fun.",4,POSITIVE,beautiful hindu experience religion hare rama hare krishna chant fill air essence potent poignant reaching temple hill top hop scotch jump exercise fun,4,1
25,25,3128,Facebook,Vijay Bhutani,6/17/2016,June,2016,,"A beautiful Lord Krishna temple,worth seeing.Very well managed.",5,POSITIVE,beautiful lord krishna templeworth seeingvery managed,3,1
26,26,2312,Trip Advisor,Swetabiswal,9/9/2015,September,2015,?Beautiful Temple but not the right place to experience spirituality !?,A beautiful place but too much regulated queues....did not feel the spiritual vibes that one expects from such a place...much too commercialized .....but the food sold here is really good and the variety is nice !,3,MIXED,beautiful place regulated queuesdid feel spiritual vibe expects placemuch commercialized food sold variety nice,0,3
27,27,882,Trip Advisor,Karthiksv11,5/12/2015,May,2015,Clean,A Beautiful place. Very very clean. But somewhat the temple looks like a shopping mall at exit. Well maintained temple,4,POSITIVE,beautiful place clean temple shopping mall exit maintained temple,0,0
28,28,3104,Google + HK HILL,Anoop Kumar V,6/28/2016,June,2016,,"A beautiful temple complex in Bangalore. You can keep your footwear at the footwear stand by taking token for Rs.2 per person. The view of Bangalore from the temple is very beautiful. The timings of various puja are: 4:15 am ? Mangala Arati 4:45 am ? Sri Tulasi puja 5:00 am ? Sri Narasimha Arati 5:10 am ? Suprabhata seva 5:20 am ? Nitya Shodasha Upachara Puja & Japa Meditation 7:15 am ? Shringara Darshana Arati and Guru Puja 8:30 am ? Lecture on the Srimad-Bhagavatam 12:30 pm ? Rajbhog Arati 4:15 pm ? Dhupa Arati 6:45 pm ? Sri Tulasi Puja 7:00 pm ? Sandhya Arati 8:15 pm ? Shayana Arati There are many shops on the way to exit where they sell photos of gods, cloths, etc.",4,POSITIVE,beautiful temple complex bangalore footwear footwear stand taking token r person view bangalore temple beautiful timing puja mangala arati sri tulasi puja sri narasimha arati suprabhata seva nitya shodasha upachara puja japa meditation shringara darshana arati guru puja lecture srimadbhagavatam pm rajbhog arati pm dhupa arati pm sri tulasi puja pm sandhya arati pm shayana arati shop exit sell photo god cloth,1,0
29,29,3205,Trip Advisor,Malakasi,7/28/2016,July,2016,Divinity in all its splendour!!,"A beautiful temple of Krishna..temples for all the avatars of Vishnu,the permanent broadcast of the chanting of 'HareRamaHareKrishna' makes one drawn towards God...marble steps, beautiful architecture,the paintings is all splendid.The way they allow the people to move in a proper way makes it very pleasant.The sanctum of the gods beautifully decorated.There are small stalls where one can buy sweets,prasad,etc all made in the temple kitchen! Plenty of divine books of Krishna are available in all languages, must buy are little Krishna t shirts Kurta's for kids,There are souvenirs to buy.usualy a good prasadam is given it's simple and tasty.There is a veg restaurant where food ,snacks are available.Ample parking space is available.One can become member and you get some special privileges like you can go for special pujas on yr birthday, anniversary etc.Outside the fountain etc all are well maintained.It takes a special form as evening approaches,the lights etc gives it a magical mystical divine feeling!.",4,POSITIVE,beautiful temple krishnatemples avatar vishnuthe permanent broadcast chanting hareramaharekrishna make drawn godmarble step beautiful architecturethe painting splendidthe move proper make pleasantthe sanctum god beautifully decoratedthere small stall buy sweetsprasadetc made temple kitchen plenty divine book krishna available language buy krishna shirt kurta kidsthere souvenir buyusualy prasadam simple tastythere veg restaurant food snack availableample parking space availableone member special privilege special pujas yr birthday anniversary etcoutside fountain maintainedit take special form evening approachesthe light magical mystical divine feeling,1,0
30,30,2599,Trip Advisor,Ida V,2/22/2016,February,2016,Beautiful and calm,A beautiful temple which is known for its calm and cleanly surroundings..really well maintained...Wear clothes that covers till your knees or rent the clothes from there itself (which you can return after the visit). Can be visited by people of all religion.,5,POSITIVE,beautiful temple calm cleanly surroundingsreally maintainedwear clothes cover till knee rent clothes return visit visited religion,0,4
31,31,4256,Trip Advisor,LakshayNanda,2/14/2017,February,2017,You'll find peace here!,A beautiful temple with a very transcendental environment. The Gods will surely bless you with some mouth-watering sweets and prasaadam at the lower floors.,5,POSITIVE,beautiful temple transcendental environment god surely bless mouthwatering sweet prasaadam lower floor,3,0
32,32,5505,Google + HK HILL,Sanjay Kar,7/16/2017,July,2017,,"A beautiful temple. Very clean and well maintained. Many people come here to offer prayers. There's ample of space for parking. On top of a hill, one can see the city of Bangalore from the highest point.",5,POSITIVE,beautiful temple clean maintained offer prayer ample space parking top hill city bangalore highest point,3,0
33,33,2397,Trip Advisor,aa12015,11/5/2015,November,2015,Calm & mesmerizing,A beautiful temple. Very nicely built and kept clean. The greenery around is also well maintained. A must visit for all.,4,POSITIVE,beautiful temple nicely built clean greenery maintained visit,3,0
34,34,4207,Trip Advisor,ansuman2015,2/8/2017,February,2017,A high tech divine place,"A beautiful, big and well maintained temple where every essence of divinity is place. A place good for the whole to pass. The akshaypatra kitchen, the canteen, the food available inside, the digital movies, books and gift items are really awesome.",4,POSITIVE,beautiful big maintained temple essence divinity place place pas akshaypatra kitchen canteen food available inside digital movie book gift item awesome,1,2
35,35,3382,Trip Advisor,140komal,9/12/2016,September,2016,A Krishna temple on a hillock.,"A beautiful,serene temple of Lord Krishna. Has a lovely calm and peaceful ambience and also can be visited as a tourist spot by tourists of any caste.Foreigners also allowed.Strict security and dress code maintained.It is in Rajajinagar, Bangalore,India.Can be reached by taxi or metro.The closest metro station is Yeshwantpur.",5,POSITIVE,beautifulserene temple lord krishna lovely calm peaceful ambience visited tourist spot tourist casteforeigners allowedstrict security dress code maintainedit rajajinagar bangaloreindiacan reached taxi metrothe closest metro station yeshwantpur,3,0
36,36,4571,Facebook,Deepak MN,4/2/2017,April,2017,,A best peaceful place with great infrastructure.. I love to visit Iskcon temple again and again,5,POSITIVE,peaceful place great infrastructure love visit iskcon temple,2,2
37,37,73,Facebook,V Aravind Ganesh,1/5/2015,January,2015,,"A big shopping complex that is cashing on the brand ""krishna"", not a temple",1,NEGATIVE,big shopping complex cashing brand krishna temple,0,0
38,38,2186,Trip Advisor,nomadicSuvro,7/12/2015,July,2015,?nice temple?,a big temple complex. good place for a time pass. some times a little bit crowdy especially in weekends and other holidays.,3,POSITIVE,big temple complex place time pas time bit crowdy especially weekend holiday,0,2
39,39,5242,Trip Advisor,TheRosamor,6/27/2017,June,2017,Beautiful temple,"A big temple with beautiful details. The exiting though is quite troublesome, make sure you're not in a rush. You will have to go through all kinds of stores and stands before you can exit.",3,NEUTRAL,big temple beautiful detail exiting troublesome make youre rush kind store stand exit,1,0
40,40,3623,Google + HK HILL,Linu Krishnan,10/23/2016,October,2016,,"A bit difficult to find the entrance even with the map. But once get inside, place is vast. Proper signboards and cle...",4,POSITIVE,bit difficult find entrance map inside place vast proper signboard cle,1,2
41,41,1372,Trip Advisor,lukianp,12/2/2013,December,2013,"Interesting place, with some caveats","A bit of a trek but if you are in Bandra, then you wont have a problem getting here. Temple is closed from 1-4 so dont go then, although there is a free lunch outside near the shoes deposit. Take your shoes off and go for a walk. They have chanting and meetings in the evening or before 1. You can have a wedding or stay in the hotel here. All the food is veg and is made in the kitchen near the back There is always somebody around who will take you around and give you some history, he will usually ask for a donation and give you some books. There is also a buffet at lunch for 400rs. Worth it!",4,POSITIVE,bit trek bandra problem temple closed free lunch shoe deposit shoe walk chanting meeting evening wedding stay hotel food veg made kitchen back give history donation give book buffet lunch 400rs worth,1,0
42,42,4423,Trip Advisor,Mbieri,3/13/2017,March,2017,Impressive Krishna temple,"A bit out of the city is that massive Krishna temple. As a foreigner impressive to see such a big temple that attracts thousands of people everyday. Also interesting to see how commercialized the Krishna movement is with DVDs, books etc. to buy.",4,NEUTRAL,bit city massive krishna temple foreigner impressive big temple attracts thousand everyday interesting commercialized krishna movement dvd book buy,3,0
43,43,3254,Trip Advisor,RoamingNitin,8/13/2016,August,2016,Hare Krishna,A blessing for Shri Krishna disciples. Have been here couple of times. We get good prasad and also a decent food to eat. Huge statue of the god and goddess !,5,POSITIVE,blessing shri krishna disciple couple time prasad decent food eat huge statue god goddess,1,0
44,44,2145,Trip Advisor,PG-Dwarka,6/30/2015,June,2015,Hare Krishna - Hare Rama,"A brilliant piece of work, Sprawling campus with over bridges and proper arrangements for Darshan, You may also get free bhog at afternoon from 11.30 - 2.00 pm. Evening aarti is a must see.",5,POSITIVE,brilliant piece work sprawling campus bridge proper arrangement darshan free bhog afternoon pm evening aarti,1,0
45,45,939,Trip Advisor,srbala123,1/28/2015,January,2015,ISKCON Bangalore,a brilliant place to visit. The awesome images of the Lord and his resort. Beautiful idols that carry away the grief from our minds,4,POSITIVE,brilliant place visit awesome image lord resort beautiful idol carry away grief mind,2,2
46,46,4046,Trip Advisor,Sk K,1/11/2017,January,2017,Must to visit in Bengaluru,A busy holy place where one gets involved in Bhakti chanting holy mantra Hare Rama Hare Rama Hare Krishna Hare Krishna Krishna Krishna Hare Hare and so on its all 108 stairs. A very well maintained and well kept place. A big hall all deities gold plated and looks like natural. Photography prohibited,5,POSITIVE,busy holy place involved bhakti chanting holy mantra hare rama hare rama hare krishna hare krishna krishna krishna hare hare stair maintained place big hall deity gold plated natural photography prohibited,4,1
47,47,4701,Google + HK HILL,Jayakumar Y,4/13/2017,April,2017,,"A calm and quite holy temple complex situated at Rajajinagar, Bangalore just opposite of Sree Guruvayurappan temple. ...",5,POSITIVE,calm holy temple complex situated rajajinagar bangalore opposite sree guruvayurappan temple,3,0
48,48,229,Trip Advisor,Amrit007,9/1/2014,September,2014,Superb temple and serene envir,"A class apart....this place offers such a peaceful atmosphere that you just immerse urself in deep introspection.....the systemic management, cleanliness, breakfast counter, shoe counter....everything in a proper order makes it a nyc place to visit and enjoy...the architectural marvel stands tall among the tall buildings of the silicon valley of India.....",4,POSITIVE,class apartthis place offer peaceful atmosphere immerse urself deep introspectionthe systemic management cleanliness breakfast counter shoe countereverything proper order make nyc place visit enjoythe architectural marvel stand tall tall building silicon valley india,0,2
49,49,1742,Trip Advisor,mandarjkokatay,12/16/2014,December,2014,Find peace and serenity,"A clean and well organized temple experience. No vendors, touts or beggars harass devotees. No one asks for money. Try taking the path which has 108 tiles on which you take steps while chanting ' Hare Rama Hare Krishna' one step at a time. You forget all your worries and tension in the 10 min that it takes to enter the temple. After darshan you can enjoy melodious bhajans. As you exit the temple, shops offer books, souvenirs and eatables. Free prasad is distributed to every devotee. A must visit in Bangalore.",1,POSITIVE,clean organized temple experience vendor tout beggar harass devotee asks money taking path tile step chanting hare rama hare krishna step time forget worry tension min take enter temple darshan enjoy melodious bhajans exit temple shop offer book souvenir eatable free prasad distributed devotee visit bangalore,1,1
50,50,2279,Trip Advisor,APMCHENG,8/28/2015,August,2015,?Well worth a visit for locals and a must see for tourists.?,"A clean and well organized temple. Even though thousands throng the temple complex on week days and even more on festival days, atmosphere remains serene. Religious activities go on seamlessly with lines of devotees/visitors patiently awaiting their darshans or just able to bypass the throng and carry on to the next leg. A very long walk with some climbing involved. Not all places are wheel chair friendly. From what I could see there are lots of members/volunteers handling the action very efficiently entry till exit. They do serve some wholesome prasadam. Can buy religious artefacts, books, book Poojas, food, handicrafts and few touristy items",5,POSITIVE,clean organized temple thousand throng temple complex week day festival day atmosphere remains serene religious activity seamlessly line devoteesvisitors patiently awaiting darshans bypass throng carry leg long walk climbing involved place wheel chair friendly lot membersvolunteers handling action efficiently entry till exit serve wholesome prasadam buy religious artefact book book poojas food handicraft touristy item,0,0
51,51,173,Google + HK HILL,nivrithi Trust,10/30/2014,October,2014,,A corporate temple. Excellent.,3,MIXED,corporate temple excellent,3,0
52,52,2266,Trip Advisor,vinesh_verma1,8/25/2015,August,2015,?ISKCON Temple?,"A definite place to visit, i usually like to go with my friends, The arrangements at the place are really very good.",5,POSITIVE,definite place visit friend arrangement place,2,2
53,53,5132,Google + HK HILL,jinu js nair,6/13/2017,June,2017,,a different temple that I have seen in my life. good ambiance....,4,POSITIVE,different temple life ambiance,3,0
54,54,5114,Google + HK HILL,Balaji A,6/11/2017,June,2017,,A divine and wonderful spiritual experience.,5,POSITIVE,divine wonderful spiritual experience,2,2
55,55,4576,Facebook,Ajit Agrawal,4/5/2017,April,2017,,A divine feeling. Always. Great place to visit.,5,POSITIVE,divine feeling great place visit,2,2
56,56,4500,Google + HK HILL,Aditya Gopinath,3/20/2017,March,2017,,A divine place. You can feel the positive vibes all through. They all provide very tasty prasadam. Very Hygienic place.,4,POSITIVE,divine place feel positive vibe provide tasty prasadam hygienic place,2,2
57,57,3659,Google + HK HILL,Dharma Kaushik,11/13/2016,November,2016,,A divinely maintained temple .....really nice,5,POSITIVE,divinely maintained temple nice,0,3
58,58,2366,Trip Advisor,mraow,10/16/2015,October,2015,Best Radhe - radhe temple,"A famous and relaxed religious temple it is a temple which define or a city is knowing by this temple. A visit must of family,single double or anything every body will like it for sure by listening the story of lord krishna and krishna's birth just amazing. http://www.tripadvisor.in/ShowUserReviews-g297628-d325162-r319228085-ISKCON_Sri_Radha_Krishna_Chandra_Temple-Bengaluru_Bangalore_Karnataka.html#",5,POSITIVE,famous relaxed religious temple temple define city knowing temple visit familysingle double body listening story lord krishna krishna birth amazing httpwwwtripadvisorinshowuserreviewsg297628d325162r319228085iskcon_sri_radha_krishna_chandra_templebengaluru_bangalore_karnatakahtml,3,0
59,59,4499,Google + HK HILL,Raghu Kiran,3/20/2017,March,2017,,A famous beautiful temple in Bangalore. The place looks more commercial than a temple.,4,NEUTRAL,famous beautiful temple bangalore place commercial temple,3,0
60,60,3076,Trip Advisor,shabnam642015,7/6/2016,July,2016,Temple with a soul,"A fantastic place to spend an evening withe family, specially the bhajans .. takes you away from this world of corruption and insanity. after which you could indulge in some good vegetarian food also.",5,POSITIVE,fantastic place spend evening withe family specially bhajans take away world corruption insanity indulge vegetarian food,0,2
61,61,2449,Trip Advisor,vishalraj82,12/21/2015,December,2015,The largest temple in Bengaluru,"A fantastic temple of Radha Krishna. Plus the food there is excellent. You can buy all sort of stuff such as tshirts, organic products, gift items etc. Must visit if in Bengaluru.",4,POSITIVE,fantastic temple radha krishna food excellent buy sort stuff tshirts organic product gift item visit bengaluru,1,0
62,62,4033,Facebook,Aiyer Varada Rajan,1/9/2017,January,2017,,"A fine example of how a temple can play a role in our life Divinity - serene and simply fantastic Simple Q system, paid and regular 1 feet away Feeding the souls and bottomless bowls Spiritually uplifting classes, programs Cultural oriented cultivation with captivating classes Showing Satvik food without onion Garlic is tastiest All senses attended to with magic of Lord Krishna HARE KRISHNA",5,POSITIVE,fine temple play role life divinity serene simply fantastic simple system paid regular foot away feeding soul bottomless bowl spiritually uplifting class program cultural oriented cultivation captivating class showing satvik food onion garlic tastiest sens attended magic lord krishna hare krishna,1,1
63,63,4144,Facebook,Rakesh Arora,1/27/2017,January,2017,,"A fine example of how a temple can play a role in our life Divinity - serene and simply fantastic Simple Q system, paid and regular 1 feet away Feeding the souls and bottomless bowls Spiritually uplifting classes, programs Cultural oriented cultivation with captivating classes Showing Satvik food without onion Garlic is tastiest All senses attended to with magic of Lord Krishna HARE KRISHNA",5,POSITIVE,fine temple play role life divinity serene simply fantastic simple system paid regular foot away feeding soul bottomless bowl spiritually uplifting class program cultural oriented cultivation captivating class showing satvik food onion garlic tastiest sens attended magic lord krishna hare krishna,1,1
64,64,5315,Google + HK HILL,Laxman Sahu,7/4/2017,July,2017,,A for awesomeness,5,POSITIVE,awesomeness,0,0
65,65,2936,Trip Advisor,Aymeric D,6/5/2016,June,2016,Best visit we have done in Bangalore,"A friend from Bangalore brought us to the Temple. This was an experience I will never forget, the whole visit is great and the inside is so peaceful and beautiful. Go there is visiting Bangaluru",5,POSITIVE,friend bangalore brought temple experience forget visit great inside peaceful beautiful visiting bangaluru,2,4
66,66,508,Trip Advisor,Sunil99,10/8/2013,October,2013,Worth the experience,A friend of ours who is a member took us there for the special puja & it was definetely worth it . The temple is quite ornate & no money has been spared in its construction. You must try the food which is served after the puja. The ony thing disapointing was the high price for the prasad . I personally feel that it should be absolutely free.,4,MIXED,friend member special puja definetely worth temple ornate money spared construction food served puja ony disapointing high price prasad personally feel absolutely free,0,0
67,67,1652,Trip Advisor,balotadventures,11/10/2014,November,2014,"Clean, beautiful place of worship","A friend took us to ISKCON for the 7 AM darshana. I am not Hindu, but it was an enlightening and enlivening spiritual experience. Thanks to our friend who gave us commentaries every now and then about what is happening during the ceremony. The energy all around (with all the dancing and singing) was contagious. The temple is very clean and well maintained despite the huge number of people visiting the place. It was my first time to visit a Hindu temple, and it made a good impression. After the ceremony, we had light breakfast treats from one of their cafeteria stalls. On our way out, we got to chug down some ""food from the gods"" that are served on dried bowl-shaped leaves. It warmed our tummies and our hearts. :)",4,POSITIVE,friend iskcon darshana hindu enlightening enlivening spiritual experience friend gave commentary happening ceremony energy dancing singing contagious temple clean maintained despite huge number visiting place time visit hindu temple made impression ceremony light breakfast treat cafeteria stall chug food god served dried bowlshaped leaf warmed tummy heart,1,0
68,68,110,Google + HK HILL,Pradhan Makam,3/1/2015,March,2015,,"A good place for relaxation and to be blessed :"")",4,POSITIVE,place relaxation blessed,2,2
69,69,3287,Trip Advisor,Tamilanban C,8/22/2016,August,2016,Evening hangout,A good place to hangout in the evening with family . We were a group of six and had a pleasant evening .If you are an atheist better avoid,4,POSITIVE,place hangout evening family group pleasant evening atheist avoid,2,2
70,70,2820,Google + HK HILL,Akash Motamarri,3/2/2016,March,2016,,A good place to visit for religious people and even if you are not religious still go the architecture is wonderful inside must see,5,POSITIVE,place visit religious religious architecture wonderful inside,0,2
71,71,2332,Trip Advisor,kchiu88,9/22/2015,September,2015,?Interesting place for sight seeing?,A good place to visit for sight seeing. Be aware that you have to be a barefoot to get into the temple. The higher priced ticket is worth it. Just get the middle one. Unless you are interested to get to know more about the Krishna.with videos and songs package.,4,POSITIVE,place visit sight aware barefoot temple higher priced ticket worth middle interested krishnawith video song package,0,4
